"Date","Price","Open","High","Low","Vol.","Change %"
"Mar 27, 2020","16,822.59","17,039.45","17,283.44","16,666.74","590.90M","-3.15%"
"Mar 26, 2020","17,369.38","16,876.51","17,369.38","16,834.79","712.23M","0.73%"
"Mar 25, 2020","17,243.68","17,246.83","17,830.36","16,581.76","906.28M","1.74%"
"Mar 24, 2020","16,948.60","15,977.53","16,948.60","15,969.74","847.37M","8.93%"
"Mar 23, 2020","15,559.80","15,318.26","15,788.70","15,091.98","768.02M","-1.09%"
"Mar 20, 2020","15,731.85","15,772.98","16,180.17","15,616.90","1.22B","1.71%"
"Mar 19, 2020","15,466.97","15,417.20","15,844.08","15,038.08","1.02B","2.29%"
"Mar 18, 2020","15,120.48","14,985.81","15,438.23","14,791.72","796.19M","-1.27%"
"Mar 17, 2020","15,314.77","15,420.49","15,809.66","14,695.72","1.04B","2.23%"
"Mar 16, 2020","14,980.34","15,697.47","15,699.27","14,153.09","1.22B","-6.10%"
"Mar 13, 2020","15,954.29","15,108.11","17,545.44","15,106.60","1.27B","7.12%"
"Mar 12, 2020","14,894.44","17,654.04","17,659.86","14,894.44","1.54B","-16.92%"
"Mar 11, 2020","17,928.64","18,171.76","18,410.29","17,674.69","916.16M","0.33%"
"Mar 10, 2020","17,870.18","18,653.90","19,174.77","17,771.88","1.10B","-3.28%"
"Mar 09, 2020","18,475.91","20,780.87","20,780.87","18,346.40","1.27B","-11.17%"
"Mar 06, 2020","20,799.89","20,986.89","21,151.36","20,624.42","864.92M","-3.50%"
"Mar 05, 2020","21,554.88","22,011.67","22,034.94","21,362.09","772.85M","-1.78%"
"Mar 04, 2020","21,946.03","21,739.80","22,204.01","21,499.93","724.37M","0.91%"
"Mar 03, 2020","21,748.20","22,116.28","22,340.46","21,651.36","799.97M","0.43%"
"Mar 02, 2020","21,655.09","22,333.17","22,361.13","21,118.83","924.41M","-1.50%"
"Feb 28, 2020","21,984.21","22,058.99","22,334.72","21,697.94","1.05B","-3.58%"
