Date,Price,Change %
2020-03-27,"2,772.20",0.26%
2020-03-26,"2,764.91",-0.60%
2020-03-25,"2,781.59",2.17%
2020-03-24,"2,722.44",2.34%
2020-03-23,"2,660.17",-3.11%
2020-03-20,"2,745.62",1.61%
2020-03-19,"2,702.13",-0.98%
2020-03-18,"2,728.76",-1.83%
2020-03-17,"2,779.64",-0.34%
2020-03-16,"2,789.25",-3.40%
2020-03-13,"2,887.43",-1.23%
2020-03-12,"2,923.49",-1.52%
2020-03-11,"2,968.52",-0.94%
2020-03-10,"2,996.76",1.82%
2020-03-09,"2,943.29",-3.01%
2020-03-06,"3,034.51",-1.21%
2020-03-05,"3,071.68",1.99%
2020-03-04,"3,011.67",0.63%
2020-03-03,"2,992.90",0.74%
2020-03-02,"2,970.93",3.15%
2020-02-28,"2,880.30",-3.71%
2020-02-27,"2,991.33",0.11%
2020-02-26,"2,987.93",-0.83%
2020-02-25,"3,013.05",-0.60%
2020-02-24,"3,031.23",-0.28%
2020-02-21,"3,039.67",0.31%
2020-02-20,"3,030.15",1.84%
2020-02-19,"2,975.40",-0.32%
2020-02-18,"2,984.97",0.05%
2020-02-17,"2,983.62",2.28%
2020-02-14,"2,917.01",0.38%
2020-02-13,"2,906.07",-0.71%
2020-02-12,"2,926.90",0.87%
2020-02-11,"2,901.67",0.39%
2020-02-10,"2,890.49",0.51%
2020-02-07,"2,875.96",0.33%
2020-02-06,"2,866.51",1.72%
2020-02-05,"2,818.09",1.25%
2020-02-04,"2,783.29",1.34%
2020-02-03,"2,746.61",-7.72%
2020-01-23,"2,976.53",-2.75%
2020-01-22,"3,060.75",0.28%
2020-01-21,"3,052.14",-1.41%
2020-01-20,"3,095.79",0.66%
2020-01-17,"3,075.50",0.05%
2020-01-16,"3,074.08",-0.52%
2020-01-15,"3,090.04",-0.54%
2020-01-14,"3,106.82",-0.28%
2020-01-13,"3,115.57",0.75%
2020-01-10,"3,092.29",-0.08%
2020-01-09,"3,094.88",0.91%
2020-01-08,"3,066.89",-1.22%
2020-01-07,"3,104.80",0.69%
2020-01-06,"3,083.41",-0.01%
2020-01-03,"3,083.79",-0.05%
2020-01-02,"3,085.20",1.15%
2019-12-31,"3,050.12",0.33%
2019-12-30,"3,040.02",1.16%
2019-12-27,"3,005.04",-0.08%
2019-12-26,"3,007.35",0.85%
2019-12-25,"2,981.88",-0.03%
2019-12-24,"2,982.68",0.67%
2019-12-23,"2,962.75",-1.40%
